room_x,room_h,window_w,window_h,sill_height,percentage_glazing,OccupantDistance,WindowSize,Max_surf_temp,image
3,3,1.8,1.8,0.6,0.36,1.5,1.8m x 1.8m,52,Window_0.6_1.8_1.8.png
3,3,1.8,1.8,0.9,0.36,1.5,1.8m x 1.8m,58,Window_0.9_1.8_1.8.png
3,3,2,1.8,0,0.4,1.5,2m x 1.8m,46,Window_0_2_1.8.png
3,3,2,1.8,0.6,0.4,1.5,2m x 1.8m,51,Window_0.6_2_1.8.png
3,3,2,1.8,0.9,0.4,1.5,2m x 1.8m,55,Window_0.9_2_1.8.png
3,3,2.5,1.8,0,0.5,1.5,2.5m x 1.8m,44,Window_0_2.5_1.8.png
3,3,2.5,1.8,0.6,0.5,1.5,2.5m x 1.8m,48,Window_0.6_2.5_1.8.png
3,3,2.5,1.8,0.9,0.5,1.5,2.5m x 1.8m,52,Window_0.9_2.5_1.8.png
3,3,3,1.8,0,0.6,1.5,3m x 1.8m,43,Window_0_3_1.8.png
3,3,3,1.8,0.6,0.6,1.5,3m x 1.8m,46,Window_0.6_3_1.8.png
3,3,3,1.8,0.9,0.6,1.5,3m x 1.8m,50,Window_0.9_3_1.8.png
3,3,3,2.1,0,0.7,1.5,3m x 2.1m,42,Window_0_3_2.1.png
3,3,3,2.1,0.6,0.7,1.5,3m x 2.1m,45,Window_0.6_3_2.1.png
3,3,3,2.1,0.9,0.7,1.5,3m x 2.1m,49,Window_0.9_3_2.1.png
3,3,3,2.4,0,0.8,1.5,3m x 2.4m,41,Window_0_3_2.4.png
3,3,3,2.4,0.6,0.8,1.5,3m x 2.4m,45,Window_0.6_3_2.4.png
3,3.3,3,2.4,0.9,0.73,1.5,3m x 2.4m,48,Window_0.9_3_2.4.png
3,3,3,2.7,0,0.9,1.5,3m x 2.7m,41,Window_0_3_2.7.png
3,3.3,3,2.7,0.6,0.82,1.5,3m x 2.7m,44,Window_0.6_3_2.7.png
3,3.6,3,2.7,0.9,0.75,1.5,3m x 2.7m,48,Window_0.9_3_2.7.png
3,3,3,3,0,1,1.5,3m x 3m,40.5,Window_0_3_3.png
3,3.6,3,3,0.6,0.83,1.5,3m x 3m,44,Window_0.6_3_3.png
3,3.9,3,3,0.9,0.77,1.5,3m x 3m,47,Window_0.9_3_3.png
